"name","n"
"James Berger",1
"James C. Hickman",1
"James Caird",1
"James Crosby",1
"James Goodnight",1
"James Joseph Sylvester",1
"James Jurin",1
"James Robins",1
"James Vaupel",1
"Jan Czekanowski",1
"Jan Hoem",1
"Jan Piekałkiewicz",1
"Jan Visman",1
"Jarl Waldemar Lindeberg",1
"Jaroslav Hájek",1
"Jayanta Kumar Ghosh",1
"Jean-Marie Robine",1
"Jean-Paul Benzécri",1
"Jeff Sagarin",1
"Jerome Cornfield",1
"Jessica Utts",1
"Jianqing Fan",1
"Joel E. Cohen",1
"Johan Frederik Steffensen",1
"Johann Ernst Fabri",1
"Johann Peter Süssmilch",1
"Johannes Fallati",1
"John Aitchison",1
"John Boreham",1
"John Caldwell",1
"John Chambers",1
"John Darwin",1
"John Erritt",1
"John F. MacGregor",1
"John Finlaison",1
"John Fox",1
"John Hajnal",1
"John Law",1
"John Lubbock, 1st Baron Avebury",1
"John Mauchly",1
"John Pakington, 1st Baron Hampton",1
"John Panaretos",1
"John Rickman",1
"John Wingate Thornton",1
"José Enrique Moyal",1
"José-Miguel Bernardo",1
"Joseph Adna Hill",1
"Joseph Berkson",1
"Joseph C. G. Kennedy",1
"Joseph Hilbe",1
"Joseph J. Spengler",1
"Joseph Kruskal",1
"Joseph L. Fleiss",1
"Joshua Milne",1
"Jotun Hein",1
"Józef Buzek",1
"Julian C. Stanley Jr.",1
"Julius Bartels",1
"Jun S. Liu",1
"K. C. Sreedharan Pillai",1
"Kantilal Mardia",1
"Karen Dunnell",1
"Karl Gustav Jöreskog",1
"Kenneth Massey",1
"Khandkar Manwar Hossain",1
"Kingsley Davis",1
"Larry V. Hedges",1
"Laurence Baxter",1
"Lawrence D. Brown",1
"Lawrence Shepp",1
"Leland Wilkinson",1
"Len Cook",1
"Leo Breiman",1
"Léon Bottou",1
"Leonard Courtney, 1st Baron Courtney of Penwith",1
"Leonard Henry Caleb Tippett",1
"Leonard Porter Ayres",1
"Leslie Earl Simon",1
"Leslie Kish",1
"Lester Frankel",1
"Lester G. Telser",1
"Lloyd Shapley",1
"Lord George Hamilton",1
"Louis Chen Hsiao Yun",1
"Louis Guttman",1
"Louis Israel Dublin",1
